image_file,annotation_count,classes,primary_class,max_damage_area_ratio,image_path,dataset,country,split
India_000005.jpg,1,Pothole,Pothole,0.0691435185185185,data/raw/road_damage/India/India/train/images/India_000005.jpg,RDD2022,India,train
India_000011.jpg,1,Longitudinal Crack,Longitudinal Crack,0.0056423611111111,data/raw/road_damage/India/India/train/images/India_000011.jpg,RDD2022,India,train
India_000014.jpg,2,Alligator Crack,Alligator Crack,0.0789930555555555,data/raw/road_damage/India/India/train/images/India_000014.jpg,RDD2022,India,train
India_000017.jpg,4,Pothole,Pothole,0.0135378086419753,data/raw/road_damage/India/India/train/images/India_000017.jpg,RDD2022,India,train
India_000024.jpg,1,Alligator Crack,Alligator Crack,0.2310763888888889,data/raw/road_damage/India/India/train/images/India_000024.jpg,RDD2022,India,train
India_000027.jpg,6,Alligator Crack|Pothole,Pothole,0.0793479938271605,data/raw/road_damage/India/India/train/images/India_000027.jpg,RDD2022,India,train
India_000028.jpg,1,Alligator Crack,Alligator Crack,0.2073398919753086,data/raw/road_damage/India/India/train/images/India_000028.jpg,RDD2022,India,train
India_000038.jpg,1,Longitudinal Crack,Longitudinal Crack,0.0082716049382716,data/raw/road_damage/India/India/train/images/India_000038.jpg,RDD2022,India,train
India_000043.jpg,7,Alligator Crack|Pothole,Pothole,0.2175,data/raw/road_damage/India/India/train/images/India_000043.jpg,RDD2022,India,train
India_000052.jpg,9,Alligator Crack|Longitudinal Crack|Pothole,Pothole,0.0618711419753086,data/raw/road_damage/India/India/train/images/India_000052.jpg,RDD2022,India,train
India_000053.jpg,3,Alligator Crack|Longitudinal Crack,Longitudinal Crack,0.2006751543209876,data/raw/road_damage/India/India/train/images/India_000053.jpg,RDD2022,India,train
India_000054.jpg,2,Longitudinal Crack|Pothole,Pothole,0.0622222222222222,data/raw/road_damage/India/India/train/images/India_000054.jpg,RDD2022,India,train
India_000055.jpg,1,Pothole,Pothole,0.0059799382716049,data/raw/road_damage/India/India/train/images/India_000055.jpg,RDD2022,India,train
India_000057.jpg,5,Longitudinal Crack|Pothole,Longitudinal Crack,0.044074074074074,data/raw/road_damage/India/India/train/images/India_000057.jpg,RDD2022,India,train
India_000061.jpg,2,Pothole,Pothole,0.0081288580246913,data/raw/road_damage/India/India/train/images/India_000061.jpg,RDD2022,India,train
India_000067.jpg,2,Alligator Crack|Pothole,Alligator Crack,0.1506944444444444,data/raw/road_damage/India/India/train/images/India_000067.jpg,RDD2022,India,train
India_000071.jpg,2,Pothole,Pothole,0.0191608796296296,data/raw/road_damage/India/India/train/images/India_000071.jpg,RDD2022,India,train
India_000078.jpg,1,Longitudinal Crack,Longitudinal Crack,0.024375,data/raw/road_damage/India/India/train/images/India_000078.jpg,RDD2022,India,train
India_000081.jpg,1,Pothole,Pothole,0.0039834104938271,data/raw/road_damage/India/India/train/images/India_000081.jpg,RDD2022,India,train
India_000086.jpg,2,Longitudinal Crack,Longitudinal Crack,0.252295524691358,data/raw/road_damage/India/India/train/images/India_000086.jpg,RDD2022,India,train
India_000090.jpg,1,Longitudinal Crack,Longitudinal Crack,0.0336496913580246,data/raw/road_damage/India/India/train/images/India_000090.jpg,RDD2022,India,train
India_000092.jpg,3,Longitudinal Crack,Longitudinal Crack,0.0102777777777777,data/raw/road_damage/India/India/train/images/India_000092.jpg,RDD2022,India,train
India_000099.jpg,1,Alligator Crack,Alligator Crack,0.1996296296296296,data/raw/road_damage/India/India/train/images/India_000099.jpg,RDD2022,India,train
India_000102.jpg,2,Longitudinal Crack,Longitudinal Crack,0.0374305555555555,data/raw/road_damage/India/India/train/images/India_000102.jpg,RDD2022,India,train
India_000103.jpg,1,Pothole,Pothole,0.0703703703703703,data/raw/road_damage/India/India/train/images/India_000103.jpg,RDD2022,India,train
India_000104.jpg,1,Longitudinal Crack,Longitudinal Crack,0.029537037037037,data/raw/road_damage/India/India/train/images/India_000104.jpg,RDD2022,India,train
India_000105.jpg,3,Pothole,Pothole,0.0017418981481481,data/raw/road_damage/India/India/train/images/India_000105.jpg,RDD2022,India,train
India_000109.jpg,2,Alligator Crack|Pothole,Pothole,0.1090104166666666,data/raw/road_damage/India/India/train/images/India_000109.jpg,RDD2022,India,train
India_000114.jpg,1,Alligator Crack,Alligator Crack,0.114585262345679,data/raw/road_damage/India/India/train/images/India_000114.jpg,RDD2022,India,train
India_000115.jpg,2,Pothole|Transverse Crack,Transverse Crack,0.0082754629629629,data/raw/road_damage/India/India/train/images/India_000115.jpg,RDD2022,India,train
India_000125.jpg,4,Longitudinal Crack,Longitudinal Crack,0.0231635802469135,data/raw/road_damage/India/India/train/images/India_000125.jpg,RDD2022,India,train
India_000126.jpg,3,Alligator Crack|Pothole,Alligator Crack,0.1325347222222222,data/raw/road_damage/India/India/train/images/India_000126.jpg,RDD2022,India,train
India_000127.jpg,2,Alligator Crack|Pothole,Alligator Crack,0.2622530864197531,data/raw/road_damage/India/India/train/images/India_000127.jpg,RDD2022,India,train
India_000128.jpg,1,Pothole,Pothole,0.0010416666666666,data/raw/road_damage/India/India/train/images/India_000128.jpg,RDD2022,India,train
India_000130.jpg,1,Alligator Crack,Alligator Crack,0.1597164351851852,data/raw/road_damage/India/India/train/images/India_000130.jpg,RDD2022,India,train
India_000131.jpg,3,Alligator Crack|Longitudinal Crack|Pothole,Longitudinal Crack,0.2001157407407407,data/raw/road_damage/India/India/train/images/India_000131.jpg,RDD2022,India,train
India_000142.jpg,1,Alligator Crack,Alligator Crack,0.2307060185185185,data/raw/road_damage/India/India/train/images/India_000142.jpg,RDD2022,India,train
India_000147.jpg,4,Alligator Crack|Longitudinal Crack|Pothole,Pothole,0.1072993827160493,data/raw/road_damage/India/India/train/images/India_000147.jpg,RDD2022,India,train
India_000155.jpg,2,Longitudinal Crack|Pothole,Longitudinal Crack,0.0090277777777777,data/raw/road_damage/India/India/train/images/India_000155.jpg,RDD2022,India,train
India_000157.jpg,3,Alligator Crack|Longitudinal Crack,Longitudinal Crack,0.1481770833333333,data/raw/road_damage/India/India/train/images/India_000157.jpg,RDD2022,India,train
India_000158.jpg,1,Alligator Crack,Alligator Crack,0.1051851851851851,data/raw/road_damage/India/India/train/images/India_000158.jpg,RDD2022,India,train
India_000164.jpg,1,Alligator Crack,Alligator Crack,0.1726234567901234,data/raw/road_damage/India/India/train/images/India_000164.jpg,RDD2022,India,train
India_000168.jpg,3,Pothole,Pothole,0.0230208333333333,data/raw/road_damage/India/India/train/images/India_000168.jpg,RDD2022,India,train
India_000173.jpg,2,Pothole,Pothole,0.2014814814814814,data/raw/road_damage/India/India/train/images/India_000173.jpg,RDD2022,India,train
India_000174.jpg,4,Pothole,Pothole,0.0548225308641975,data/raw/road_damage/India/India/train/images/India_000174.jpg,RDD2022,India,train
India_000184.jpg,1,Alligator Crack,Alligator Crack,0.0751851851851851,data/raw/road_damage/India/India/train/images/India_000184.jpg,RDD2022,India,train
India_000191.jpg,2,Alligator Crack,Alligator Crack,0.0559278549382716,data/raw/road_damage/India/India/train/images/India_000191.jpg,RDD2022,India,train
India_000193.jpg,3,Pothole|Transverse Crack,Pothole,0.0815277777777777,data/raw/road_damage/India/India/train/images/India_000193.jpg,RDD2022,India,train
India_000197.jpg,2,Alligator Crack|Longitudinal Crack,Longitudinal Crack,0.0340451388888888,data/raw/road_damage/India/India/train/images/India_000197.jpg,RDD2022,India,train
India_000199.jpg,1,Longitudinal Crack,Longitudinal Crack,0.0046527777777777,data/raw/road_damage/India/India/train/images/India_000199.jpg,RDD2022,India,train
India_000200.jpg,1,Alligator Crack,Alligator Crack,0.1401909722222222,data/raw/road_damage/India/India/train/images/India_000200.jpg,RDD2022,India,train
India_000205.jpg,1,Longitudinal Crack,Longitudinal Crack,0.0266203703703703,data/raw/road_damage/India/India/train/images/India_000205.jpg,RDD2022,India,train
India_000209.jpg,7,Alligator Crack|Pothole,Pothole,0.2760223765432099,data/raw/road_damage/India/India/train/images/India_000209.jpg,RDD2022,India,train
India_000210.jpg,1,Longitudinal Crack,Longitudinal Crack,0.0141087962962962,data/raw/road_damage/India/India/train/images/India_000210.jpg,RDD2022,India,train
India_000222.jpg,1,Alligator Crack,Alligator Crack,0.2099961419753086,data/raw/road_damage/India/India/train/images/India_000222.jpg,RDD2022,India,train
India_000223.jpg,7,Longitudinal Crack|Pothole,Pothole,0.0099209104938271,data/raw/road_damage/India/India/train/images/India_000223.jpg,RDD2022,India,train
India_000224.jpg,1,Longitudinal Crack,Longitudinal Crack,0.0160416666666666,data/raw/road_damage/India/India/train/images/India_000224.jpg,RDD2022,India,train
India_000230.jpg,2,Alligator Crack|Pothole,Alligator Crack,0.143287037037037,data/raw/road_damage/India/India/train/images/India_000230.jpg,RDD2022,India,train
India_000232.jpg,1,Longitudinal Crack,Longitudinal Crack,0.0212962962962962,data/raw/road_damage/India/India/train/images/India_000232.jpg,RDD2022,India,train
India_000241.jpg,2,Alligator Crack|Pothole,Alligator Crack,0.1098090277777777,data/raw/road_damage/India/India/train/images/India_000241.jpg,RDD2022,India,train
India_000256.jpg,1,Longitudinal Crack,Longitudinal Crack,0.0158429783950617,data/raw/road_damage/India/India/train/images/India_000256.jpg,RDD2022,India,train
India_000259.jpg,1,Longitudinal Crack,Longitudinal Crack,0.0268981481481481,data/raw/road_damage/India/India/train/images/India_000259.jpg,RDD2022,India,train
India_000261.jpg,1,Pothole,Pothole,0.0201581790123456,data/raw/road_damage/India/India/train/images/India_000261.jpg,RDD2022,India,train
India_000267.jpg,3,Longitudinal Crack,Longitudinal Crack,0.0761979166666666,data/raw/road_damage/India/India/train/images/India_000267.jpg,RDD2022,India,train
India_000268.jpg,1,Pothole,Pothole,0.0036072530864197,data/raw/road_damage/India/India/train/images/India_000268.jpg,RDD2022,India,train
India_000269.jpg,1,Alligator Crack,Alligator Crack,0.1081327160493827,data/raw/road_damage/India/India/train/images/India_000269.jpg,RDD2022,India,train
India_000270.jpg,2,Alligator Crack|Longitudinal Crack,Alligator Crack,0.2257098765432098,data/raw/road_damage/India/India/train/images/India_000270.jpg,RDD2022,India,train
India_000271.jpg,1,Alligator Crack,Alligator Crack,0.0289274691358024,data/raw/road_damage/India/India/train/images/India_000271.jpg,RDD2022,India,train
India_000272.jpg,1,Alligator Crack,Alligator Crack,0.193287037037037,data/raw/road_damage/India/India/train/images/India_000272.jpg,RDD2022,India,train
India_000274.jpg,4,Alligator Crack|Pothole,Pothole,0.1010320216049382,data/raw/road_damage/India/India/train/images/India_000274.jpg,RDD2022,India,train
